study_key,study_label,family_key,family_label,contrast_key,contrast_label,outcome,estimate,stderr,ci_low,ci_high,p_value,mde,n,p_adjusted,layer1_p_adjusted,layer2_p_adjusted
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,moderate_conservative_seed,Moderates (conservative seed),positive_interactions,0.019628371139144445,0.09693380458406227,-0.1703618858456176,0.2096186281239065,0.8395316992146924,0.2715683140581599,426,1.0,6.501451821350201e-08,0.04573894696378211
study3,Study 3 – Minimum Wage (YouGov),platform,Platform interactions,moderate_conservative_seed,Moderates (conservative seed),platform_duration,,,,,,,0,,6.501451821350201e-08,0.04573894696378211
study3,Study 3 – Minimum Wage (YouGov),policy,Minimum wage attitudes,liberal_ideologues,Ideologues (liberal),mw_index_w2,0.005311964211319686,0.005192946314158709,-0.004866210564431383,0.015490138987070756,0.30634607597807384,0.014548481632201259,960,,0.012274861504870671,0.8169228692748636
study3,Study 3 – Minimum Wage (YouGov),policy,Minimum wage attitudes,conservative_ideologues,Ideologues (conservative),mw_index_w2,0.031229872843065443,0.009915989161963238,0.011794534085617498,0.05066521160051339,0.0016358031179364296,0.027780488659124605,882,0.0065432124717457185,0.012274861504870671,0.012274861504870671
study3,Study 3 – Minimum Wage (YouGov),policy,Minimum wage attitudes,moderate_liberal_seed,Moderates (liberal seed),mw_index_w2,0.0037467393504655583,0.01342614720236014,-0.022568509166160315,0.03006198786709143,0.7801965668102633,0.037614495538340946,444,,0.012274861504870671,1.0
study3,Study 3 – Minimum Wage (YouGov),policy,Minimum wage attitudes,moderate_conservative_seed,Moderates (conservative seed),mw_index_w2,0.044825717778515926,0.015139887857917133,0.015151537576998348,0.07449989798003351,0.0030687153762176678,0.042415686026628645,429,0.012274861504870671,0.012274861504870671,0.012274861504870671
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,liberal_ideologues,Ideologues (liberal),trust_majornews_w2,0.012783976163463467,0.011408050277669429,-0.009575802380768612,0.03514375470769555,0.2624538713629947,0.03196062502540821,959,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,liberal_ideologues,Ideologues (liberal),trust_youtube_w2,-0.0052926917984083555,0.014587131942816191,-0.03388347040632809,0.023298086809511377,0.716729692444835,0.04086709322565734,959,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,liberal_ideologues,Ideologues (liberal),fabricate_majornews_w2,-0.0006428202325479138,0.011328371078821068,-0.022846427547037206,0.02156078708194138,0.9547489024405822,0.03173739695972356,959,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,liberal_ideologues,Ideologues (liberal),fabricate_youtube_w2,0.0001589462641402202,0.012733657951851158,-0.024799023321488048,0.02511691584976849,0.9900407661808488,0.035674427890412856,959,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,conservative_ideologues,Ideologues (conservative),trust_majornews_w2,-0.0005916592761914252,0.014810898418410781,-0.029621020176276557,0.028437701623893707,0.9681349327087325,0.04149399407599238,881,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,conservative_ideologues,Ideologues (conservative),trust_youtube_w2,-0.012130809559785724,0.015581553295729503,-0.042670654019415555,0.018409034899844103,0.4362527373256375,0.043653049388555173,881,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,conservative_ideologues,Ideologues (conservative),fabricate_majornews_w2,-0.0002571377131946051,0.013277399320701988,-0.0262808403817705,0.02576656495538129,0.9845486768874243,0.03719776567186185,881,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,conservative_ideologues,Ideologues (conservative),fabricate_youtube_w2,-0.00606533777847805,0.012866813797635511,-0.031284292821843654,0.01915361726488755,0.637359457849533,0.03604747533966763,881,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,moderate_liberal_seed,Moderates (liberal seed),trust_majornews_w2,0.00790556747416784,0.019173606447292494,-0.02967470116252545,0.04548583611086113,0.6801084817907792,0.05371649240065015,444,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,moderate_liberal_seed,Moderates (liberal seed),trust_youtube_w2,0.009185498109377528,0.021817204595593997,-0.03357622289798671,0.051947219116741765,0.6737398540030815,0.06112275789556246,444,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,moderate_liberal_seed,Moderates (liberal seed),fabricate_majornews_w2,0.0011079312281731379,0.01931469296929452,-0.03674886699164412,0.0389647294479904,0.9542567580928611,0.054111758315166,444,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,moderate_liberal_seed,Moderates (liberal seed),fabricate_youtube_w2,0.007611541590252575,0.01777724392940931,-0.027231856511389672,0.04245493969189482,0.6685331279077829,0.04980446381142162,444,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,moderate_conservative_seed,Moderates (conservative seed),trust_majornews_w2,-0.023490512744557927,0.02028238339584864,-0.06324398420042127,0.016262958711305404,0.246793365473589,0.05682282550990945,429,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,moderate_conservative_seed,Moderates (conservative seed),trust_youtube_w2,-0.02378165787016135,0.022344899656453397,-0.06757766119681001,0.02001434545648731,0.2871931997137196,0.06260114057773737,429,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,moderate_conservative_seed,Moderates (conservative seed),fabricate_majornews_w2,-0.010631738876444807,0.01793861573813753,-0.04579142572319436,0.024527947970304748,0.5533998026129623,0.05025656068537475,429,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),media,Media trust,moderate_conservative_seed,Moderates (conservative seed),fabricate_youtube_w2,-0.0279773542481052,0.01873844709643948,-0.06470471055712658,0.008750002060916182,0.13542527522161296,0.05249735639577671,429,,0.9900407661808488,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,liberal_ideologues,Ideologues (liberal),affpol_ft_w2,1.0400380499346928,1.136450604524273,-1.1874051349328822,3.267481234802268,0.3601058321097841,3.1838632147507497,817,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,liberal_ideologues,Ideologues (liberal),affpol_smart_w2,-0.005426366219549121,0.015163509840793264,-0.03514684550750392,0.024294113068405676,0.72045042636804,0.04248186502467693,823,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,liberal_ideologues,Ideologues (liberal),affpol_comfort_w2,-0.004422394438834385,0.01524064418163439,-0.03429405703483779,0.025449268157169018,0.7716853467765097,0.04269796345378631,823,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,conservative_ideologues,Ideologues (conservative),affpol_ft_w2,-1.6937298932098932,1.3668986547552502,-4.372851256530184,0.985391470110397,0.21530690393622365,3.82948306582081,649,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,conservative_ideologues,Ideologues (conservative),affpol_smart_w2,0.035149138362266255,0.016952236701486774,0.0019227544273521802,0.06837552229718033,0.03813303512949373,0.04749313575683748,659,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,conservative_ideologues,Ideologues (conservative),affpol_comfort_w2,0.023582655640536212,0.016497741498071847,-0.00875291769568461,0.05591822897675704,0.15287564902095951,0.04621982871324698,659,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,moderate_liberal_seed,Moderates (liberal seed),affpol_ft_w2,0.6584050788737454,2.026071336170782,-3.3126947400209867,4.629504897768477,0.7452065126218264,5.676211506258452,345,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,moderate_liberal_seed,Moderates (liberal seed),affpol_smart_w2,-0.007228987927820297,0.025257978686181293,-0.05673462615273563,0.042276650297095035,0.7747202612192745,0.0707623797266179,347,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,moderate_liberal_seed,Moderates (liberal seed),affpol_comfort_w2,-0.012293172403364822,0.02620790470753893,-0.06366066563014113,0.03907432082341149,0.6390242234026562,0.07342367842635433,347,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,moderate_conservative_seed,Moderates (conservative seed),affpol_ft_w2,-0.3385638986509406,1.8076639355027229,-3.8815852122362773,3.2044574149343963,0.851430435204648,5.064324561020341,323,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,moderate_conservative_seed,Moderates (conservative seed),affpol_smart_w2,-0.04858651018833383,0.025662794480138033,-0.09888558736940437,0.001712566992736718,0.058322432082021036,0.07189650567102578,325,,0.4665794566561683,
study3,Study 3 – Minimum Wage (YouGov),affective,Affective polarization,moderate_conservative_seed,Moderates (conservative seed),affpol_comfort_w2,-0.024562147082263494,0.026266680199952767,-0.07604484027417091,0.02692054610964393,0.34973334463524974,0.07358834297708824,325,,0.4665794566561683,
