study_key,study_label,family_key,family_label,contrast_key,contrast_label,outcome,estimate,stderr,ci_low,ci_high,p_value,mde,n,p_adjusted,layer1_p_adjusted,layer2_p_adjusted
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderate_conservative_seed,Moderates (conservative seed),positive_interactions,0.24558659382028847,0.1639407949554683,-0.07573736429242939,0.5669105519330063,0.13412804768214248,0.45929410779292895,287,,0.0015283461653226027,0.06558614612440768
study2,Study 2 – Minimum Wage (MTurk),platform,Platform interactions,moderate_conservative_seed,Moderates (conservative seed),platform_duration,,,,,,,0,,0.0015283461653226027,0.06558614612440768
study2,Study 2 – Minimum Wage (MTurk),policy,Minimum wage attitudes,liberal_ideologues,Ideologues (liberal),mw_index_w2,6.323775674521581e-05,0.006522931433975767,-0.012721707853847287,0.012848183367337718,0.9922648827578775,0.018274548284190933,566,,0.3898831959418081,
study2,Study 2 – Minimum Wage (MTurk),policy,Minimum wage attitudes,conservative_ideologues,Ideologues (conservative),mw_index_w2,0.014902317634087503,0.01213181388251356,-0.008876037575639074,0.03868067284381408,0.21930929771726704,0.03398831044214769,535,,0.3898831959418081,
study2,Study 2 – Minimum Wage (MTurk),policy,Minimum wage attitudes,moderate_liberal_seed,Moderates (liberal seed),mw_index_w2,-0.01808352263071139,0.014716990025187317,-0.046928823080078536,0.010761777818655751,0.2191650146423021,0.04123090170968078,255,,0.3898831959418081,
study2,Study 2 – Minimum Wage (MTurk),policy,Minimum wage attitudes,moderate_conservative_seed,Moderates (conservative seed),mw_index_w2,0.027894935874535218,0.018723964917460017,-0.008804035363686416,0.06459390711275685,0.13627721124605197,0.05245678333722178,281,,0.3898831959418081,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,liberal_ideologues,Ideologues (liberal),trust_majornews_w2,0.0007908668507428246,0.01492264077956954,-0.028457509077213474,0.030039242778699123,0.9577336755884247,0.0418070498232518,565,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,liberal_ideologues,Ideologues (liberal),trust_youtube_w2,-0.002891855050587644,0.017471620539010826,-0.037136231307048864,0.031352521205873576,0.8685368525630588,0.04894823383857166,565,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,liberal_ideologues,Ideologues (liberal),fabricate_majornews_w2,0.0181952842104995,0.011776440043848247,-0.0048865382754430635,0.041277106696442065,0.12233220793111421,0.03299270034883888,565,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,liberal_ideologues,Ideologues (liberal),fabricate_youtube_w2,0.00954605776046864,0.013373961131962316,-0.0166669060581775,0.03575902157911478,0.47536360862172233,0.037468291814923,565,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,conservative_ideologues,Ideologues (conservative),trust_majornews_w2,0.02360458370607188,0.015822198037400696,-0.007406924447233485,0.05461609185937724,0.13573453585719752,0.0443272361396378,535,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,conservative_ideologues,Ideologues (conservative),trust_youtube_w2,-0.011699758883296392,0.017624054463974123,-0.046242905632685675,0.02284338786609289,0.506785218980454,0.04937529046948777,535,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,conservative_ideologues,Ideologues (conservative),fabricate_majornews_w2,-0.004317809467851708,0.014950413199391225,-0.03362061933865851,0.024985000402955093,0.7727277706074853,0.04188485662409546,535,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,conservative_ideologues,Ideologues (conservative),fabricate_youtube_w2,-0.021014967467601044,0.01490283258844023,-0.05022451934094389,0.008194584405741806,0.15850058429548675,0.04175155548778637,535,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,moderate_liberal_seed,Moderates (liberal seed),trust_majornews_w2,0.01408924563741279,0.022307288947489172,-0.029633040699665984,0.05781153197449156,0.5276494017900801,0.06249577097146045,255,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,moderate_liberal_seed,Moderates (liberal seed),trust_youtube_w2,-0.01030918992041779,0.026042882083801698,-0.061353238804669114,0.04073485896383354,0.6922124294469756,0.07296135348303788,255,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,moderate_liberal_seed,Moderates (liberal seed),fabricate_majornews_w2,-0.002447417672477789,0.019023036269535703,-0.039732568760767764,0.034837733415812186,0.8976302722572371,0.05329465721635808,255,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,moderate_liberal_seed,Moderates (liberal seed),fabricate_youtube_w2,0.017070482989353392,0.02193977095568855,-0.025931468083796167,0.060072434062502955,0.43653297603005736,0.061466137998241265,255,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,moderate_conservative_seed,Moderates (conservative seed),trust_majornews_w2,0.009497889726552751,0.020957480777978713,-0.03157877259828552,0.050574552051391025,0.6504061260055456,0.05871416835647183,281,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,moderate_conservative_seed,Moderates (conservative seed),trust_youtube_w2,0.020182582661477474,0.023402216115299756,-0.025685760924510047,0.066050926247465,0.38845541760024416,0.06556330273970888,281,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,moderate_conservative_seed,Moderates (conservative seed),fabricate_majornews_w2,0.01637216811792133,0.0187482914970883,-0.020374483216371742,0.0531188194522144,0.38252035791597727,0.05252493632311563,281,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),media,Media trust,moderate_conservative_seed,Moderates (conservative seed),fabricate_youtube_w2,-0.0015962011515669348,0.019033099077652625,-0.038901075343766085,0.03570867304063221,0.9331641727599123,0.053322849030831156,281,,0.8976302722572371,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,liberal_ideologues,Ideologues (liberal),affpol_ft_w2,-0.863413341766708,1.1938633504911444,-3.203385508729351,1.4765588251959352,0.46955117031089433,3.3447099151828117,521,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,liberal_ideologues,Ideologues (liberal),affpol_smart_w2,-0.02906578869263616,0.017305192308110125,-0.062983965616532,0.004852388231259684,0.09303530617044653,0.04848197096700356,521,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,liberal_ideologues,Ideologues (liberal),affpol_comfort_w2,0.009967115137400284,0.019156441825763214,-0.02757951084109562,0.04751374111589619,0.6028538245225021,0.053668404250699214,521,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,conservative_ideologues,Ideologues (conservative),affpol_ft_w2,-0.32467516655913764,1.1945893879739904,-2.666070366988159,2.0167200338698836,0.7857849644182693,3.3467439710625486,463,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,conservative_ideologues,Ideologues (conservative),affpol_smart_w2,-0.025270157853398895,0.015634661183571385,-0.05591409377319881,0.005373778066401019,0.10603147128644919,0.04380183566209819,463,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,conservative_ideologues,Ideologues (conservative),affpol_comfort_w2,-0.018834558416794357,0.015841058239268926,-0.04988303256576145,0.012213915732172738,0.2344510897882437,0.04438007460240246,463,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,moderate_liberal_seed,Moderates (liberal seed),affpol_ft_w2,0.6900212592844486,1.6428220807965692,-2.5299100190768273,3.909952537645724,0.6744694519093715,4.602506057549256,221,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,moderate_liberal_seed,Moderates (liberal seed),affpol_smart_w2,-0.00978189271727508,0.023776313752331073,-0.05638346767184398,0.03681968223729382,0.6807694718723227,0.0666113691497468,221,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,moderate_liberal_seed,Moderates (liberal seed),affpol_comfort_w2,-0.009014534069412317,0.027942990722913588,-0.06378279588632295,0.04575372774749831,0.7469947983493905,0.0782846697591825,221,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,moderate_conservative_seed,Moderates (conservative seed),affpol_ft_w2,1.4782589464785914,1.9198845590990352,-2.2847147893555175,5.241232682312701,0.4413160100489948,5.37872020125519,242,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,moderate_conservative_seed,Moderates (conservative seed),affpol_smart_w2,0.02532059603945529,0.020190748414956602,-0.014253270853859652,0.06489446293277024,0.20981684827864466,0.05656610230198025,242,,0.3725474788330061,
study2,Study 2 – Minimum Wage (MTurk),affective,Affective polarization,moderate_conservative_seed,Moderates (conservative seed),affpol_comfort_w2,0.06468470064116151,0.026729811479824426,0.012294270140705638,0.11707513114161738,0.01552281161804192,0.07488584472482243,242,,0.3725474788330061,
