study_key,study_label,family_key,family_label,contrast_key,contrast_label,contrast_display,outcome,estimate,stderr,ci_low,ci_high,p_value,mde,n,p_adjusted,layer1_p_adjusted,layer2_p_adjusted
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_conservative_seed,Moderates (conservative seed),True,fabricate_youtube_w2,0.0025881017296939257,0.022340543185946676,-0.041199362914761554,0.046375566374149406,0.9077732038192474,0.0625889355543626,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,trust_majornews_w2,-0.029671947036205903,0.025466920811248735,-0.07958711182625341,0.020243217753841615,0.2439715623606551,0.07134774889564797,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,trust_youtube_w2,-0.013126035293258231,0.029602289601031062,-0.07114652291127911,0.04489445232476265,0.6574671504884122,0.08293333696854785,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,fabricate_majornews_w2,-0.024501537318484812,0.02094629991333024,-0.06555628514861209,0.016553210511642456,0.24210922003417212,0.05868284421134694,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,fabricate_youtube_w2,0.019054391728866138,0.024583075208074203,-0.0291284356789593,0.06723721913669158,0.43827936660163136,0.06887158011870007,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,trust_majornews_w2,0.0066293141002187195,0.02630232423303346,-0.04492324139652686,0.0581818695969643,0.8010079038074573,0.07368820277328104,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,trust_youtube_w2,-0.04948771443364958,0.027888208107625635,-0.10414860232459583,0.005173173457296669,0.07597995381770017,0.0781311915939822,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,fabricate_majornews_w2,-0.026073612082664455,0.022148063830381762,-0.06948381719021271,0.0173365930248838,0.23909926945775872,0.06204968823702003,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),media,Media trust,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,fabricate_youtube_w2,-0.02087594854240582,0.022287336598271725,-0.06455912827501839,0.022807231190206757,0.34892674014159697,0.062439872764826224,1618,,0.5707052476153027,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,ideologues_liberal,Ideologues (liberal),True,affpol_ft_w2,1.059753032150013,1.081498849154588,-1.0599847121929793,3.1794907764930054,0.32713899326963913,3.0299111891976804,1458,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,ideologues_liberal,Ideologues (liberal),True,affpol_smart_w2,0.023908853082373227,0.013882620056061602,-0.003301082227507513,0.051118788392253964,0.08503062316636312,0.0388933431377408,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,ideologues_liberal,Ideologues (liberal),True,affpol_comfort_w2,0.005617660975363203,0.01713893803999511,-0.02797465758302721,0.03920997953375362,0.7430841929833898,0.04801619546700434,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,ideologues_conservative,Ideologues (conservative),True,affpol_ft_w2,3.8099827414263885,1.4215063268026202,1.023830340893253,6.5961351419595236,0.007356867687563051,3.9824711126242827,1458,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,ideologues_conservative,Ideologues (conservative),True,affpol_smart_w2,0.0022576675704601423,0.015977710545077933,-0.029058645097892605,0.03357398023881289,0.8876321056298813,0.04476291768237803,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,ideologues_conservative,Ideologues (conservative),True,affpol_comfort_w2,-0.007833677262152228,0.018326659734463575,-0.04375393034170084,0.028086575817396382,0.6690537194144375,0.05134369900945928,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_liberal_seed,Moderates (liberal seed),True,affpol_ft_w2,1.6370618036306084,2.2809470686918605,-2.833594451005438,6.107718058266655,0.47293522846851044,6.3902675909452205,1458,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_liberal_seed,Moderates (liberal seed),True,affpol_smart_w2,-0.032131905650482184,0.02829619633937988,-0.08759245047566674,0.023328639174702383,0.25614257862347767,0.07927420539322895,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_liberal_seed,Moderates (liberal seed),True,affpol_comfort_w2,0.02956725464028509,0.030488695658332066,-0.03019058885004576,0.08932509813061594,0.33215735175292505,0.08541667907592813,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_conservative_seed,Moderates (conservative seed),True,affpol_ft_w2,1.214101678024626,2.2786718311812004,-3.2520951110905267,5.680298467139779,0.5941643392268181,6.383893319167659,1458,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_conservative_seed,Moderates (conservative seed),True,affpol_smart_w2,0.034610769278803355,0.025730983117564346,-0.015821957631622766,0.08504349618922948,0.17859264347226222,0.0720875419496826,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_conservative_seed,Moderates (conservative seed),True,affpol_comfort_w2,-0.017568481498171584,0.03258003956187264,-0.08142535903944195,0.046288396043098784,0.5897208193542784,0.09127575724207808,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,affpol_ft_w2,1.1556933644828433,2.4827235469388165,-3.710444787517237,6.021831516482924,0.6415776029671707,6.955561589764786,1458,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,affpol_smart_w2,0.05486249026043108,0.02974132434724146,-0.0034305054601621796,0.11315548598102435,0.06508770363105665,0.08332285465833499,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_seed_diff_31,Moderates seed contrast (recsys 31),False,affpol_comfort_w2,0.0010180237381729462,0.03390853576341877,-0.06544270635812784,0.06747875383447373,0.9760489977624611,0.09499765256264894,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,affpol_ft_w2,1.5786534900888256,2.044266447549514,-2.4281087471082214,5.585415727285873,0.43997543208832246,5.727186661339027,1458,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,affpol_smart_w2,-0.01188018466885446,0.02396498807550412,-0.05885156129684253,0.035091191959133614,0.6200842959020407,0.06713995634458589,1459,,0.17656482450151323,
study1,Study 1 – Gun Control (MTurk),affective,Affective polarization,moderates_seed_diff_22,Moderates seed contrast (recsys 22),False,affpol_comfort_w2,0.04815375987662962,0.028683500595920067,-0.00806590129137371,0.10437342104463296,0.09319171458571662,0.08035927127326417,1459,,0.17656482450151323,
